description,category
Starbucks coffee,Food & Drink
McDonalds lunch,Food & Drink
Domino's pizza dinner,Food & Drink
Swiggy order biryani,Food & Drink
Zomato dinner order,Food & Drink
Cafe latte and sandwich,Food & Drink
Restaurant dinner with friends,Food & Drink
Subway sandwich,Food & Drink
Uber ride to office,Transport
Ola cab airport,Transport
Petrol fuel refill,Transport
Metro card recharge,Transport
Bus ticket monthly pass,Transport
Auto rickshaw fare,Transport
Flight booking Indigo,Transport
Train ticket IRCTC,Transport
Amazon shopping electronics,Shopping
Flipkart clothing order,Shopping
Myntra shoes purchase,Shopping
Nike running shoes,Shopping
H&M tshirt jeans,Shopping
Apple AirPods order,Shopping
Movie ticket PVR,Entertainment
Netflix monthly subscription,Entertainment
Spotify premium subscription,Entertainment
BookMyShow concert ticket,Entertainment
Prime Video subscription,Entertainment
Steam game purchase,Entertainment
Electricity bill payment,Utilities
Water bill municipal,Utilities
Gas cylinder refill,Utilities
Internet broadband Airtel,Utilities
Mobile recharge Jio,Utilities
DTH recharge Tata Sky,Utilities
Apollo pharmacy medicines,Health
Doctor consultation fee,Health
Gym monthly membership,Health
Dental checkup clinic,Health
Eye checkup spectacles,Health
Practo consultation,Health
Apartment rent monthly,Housing
House maintenance society,Housing
Plumber repair work,Housing
Furniture IKEA purchase,Housing
Home cleaning service,Housing
Udemy course payment,Education
Coursera specialization,Education
Books from Amazon study,Education
Stationery notebook pens,Education
College semester fee,Education
